GS,MS,JPM,
243.49,50.14,100.78,
244.4,50.02,101.41,
246.88,50.42,101.59,
244.26,49.63,100.92,
242.48,50,100.61,
240.89,50.46,101.41,
241.71,51.16,101.77,
241.72,50.77,101.74,
241.71,50.53,101.02,
244.84,51.07,100.92,
242.13,50.61,99.34,
244.73,50.68,99.51,
239.99,49.79,98.11,
242.03,50.15,97.99,
236.09,49.12,97.62,
242.41,48.94,97.84,
238.53,48.3,95.86,
239.8,48.59,95.99,
242.4,49.18,96.84,
242.6,49.49,97.13,
242.8,49.38,96.41,
246.02,49.76,96.92,
246.06,49.63,97.09,
240.31,49.01,96.36,
241.62,49.28,97.35,
240.65,48.92,96.84,
237.19,48.17,95.51,
235.47,48.15,95.38,
234.76,48.07,95.18,
229.94,47.46,93.7,
230.26,47.74,94.12,
231.03,48.22,94.83,
231.29,48.26,95.03,
229.79,47.89,94.6,
228.91,47.67,93.94,
227.53,47.32,92.92,
225.22,46.6,91.62,
226.85,46.42,90.97,
226.56,46.22,91.15,
225.95,45.75,90.89,
221.06,45.16,89.79,
217.21,44.01,88.42,
215.84,44.07,88.53,
218.83,45.07,90.11,
217.78,44.91,89.51,
225.88,46.19,91.7,
223.74,45.5,90.89,
222.42,45.66,91.31,
219.96,45.35,91.1,
220.35,45.48,91.6,
222.47,45.94,91.89,
222.99,46,91.52,
222.74,45.8,91.67,
223.58,45.57,91.56,
220.79,44.68,90.63,
222.15,45.39,90.74,
221.42,45.09,90.65,
225.61,46.01,92.09,
227.59,46.43,92.73,
227.36,46.51,92.49,
224.15,45.65,91.42,
225.5,46.3,92.19,
231.01,47.65,93.53,
232.05,47.93,93.68,
232.92,48.31,94.02,
229.79,48.08,93.66,
223.99,47.26,92.5,
226.27,47.33,93.11,
227,47.21,93.03,
225.33,46.9,91.8,
223.61,46.66,91.28,
221.48,47.09,91.55,
222.25,47.21,91.93,
221.58,47.61,92.8,
218.18,46.71,91.28,
220.18,46.59,90.89,
222.3,46.51,91.2,
222.87,46.62,91.2,
223.31,45.14,91.07,
229.26,45.33,91.39,
228.6,45.2,92.25,
230.4,45.52,93.1,
227.39,44.96,92.51,
226.95,45.48,92.83,
225.84,45.99,93.19,
225.28,46.05,93.85,
226.69,46.13,93.38,
228.04,46.16,93.68,
227.28,45.61,92.75,
221.9,44.56,91.4,
224.41,44.75,91.15,
223.22,44.32,89.82,
220.28,44.22,88.05,
220.44,44,87.24,
217.19,43.69,86.86,
219.77,44.61,87.02,
222.49,44.91,87.12,
225.1,45.5,87.52,
226.13,45.72,88.07,
221.81,44.48,86.18,
223.23,44.69,86.57,
226.51,44.91,87.09,
224.2,45.15,87.27,
221.91,44.85,86.98,
222.44,44.91,86.96,
